Feature ID	Taxon
seq130	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq131	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Virgibacillus; none
seq132	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Sinibacillus; soli
seq133	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Oceanobacillus; none
seq134	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Oceanobacillus; none
seq135	Bacteria; Firmicutes; Bacilli; none; none; none; none
seq136	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Oceanobacillus; none
seq137	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Nosocomiicoccus; none
seq138	Bacteria; Firmicutes; Bacilli; Lactobacillales; none; none; none
seq139	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; none
seq140	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Melghirimyces; none
seq141	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Pseudogracilibacillus; none
seq142	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; none
seq143	Bacteria; Firmicutes; Limnochordia; Limnochordales; Limnochordaceae; Limnochorda; none
seq144	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus; none
seq145	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Caldalkalibacillus; none
seq146	Bacteria; Firmicutes; Limnochordia; Limnochordales; Limnochordaceae; none; none
seq147	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Nosocomiicoccus; none
seq148	Bacteria; Firmicutes; Limnochordia; Limnochordales; Limnochordaceae; none; none
seq149	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Oceanobacillus; none
seq150	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; none
seq151	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; thermolactis
seq152	Bacteria; Firmicutes; Limnochordia; Limnochordales; Limnochordaceae; none; none
seq153	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Ureibacillus; thermosphaericus
seq154	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Lentibacillus; none
seq155	Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Saccharopolyspora; rectivirgula
seq156	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Ammoniibacillus; agariperforans
seq157	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Ornithinibacillus; none
seq158	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Caldibacillus; debilis
seq159	Bacteria; Proteobacteria; Gammaproteobacteria; Cardiobacteriales; Wohlfahrtiimonadaceae; Ignatzschineria; indica
seq160	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; none
seq161	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Pseudogracilibacillus; none
seq162	Bacteria; Firmicutes; Clostridia; Clostridiales; Family_XVIII; Symbiobacterium; thermophilum
seq163	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Caldibacillus; none
seq164	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Gracilibacillus; none
seq165	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; none; none
seq166	Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; none
seq167	Bacteria; Gemmatimonadetes; S0134_terrestrial_group; none; none; none; none
seq168	Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Atopostipes; none
seq169	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; none; none
seq170	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Geobacillus; none
seq171	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Lentibacillus; none
seq172	Bacteria; Bacteroidetes; Bacteroidia; Cytophagales; Spirosomaceae; Persicitalea; none
seq173	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; none
seq174	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium_1; stationis
seq175	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Caldibacillus; debilis
seq176	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Chelativorans; composti
seq177	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq178	Bacteria; Firmicutes; Clostridia; Clostridiales; Family_XVIII; Symbiobacterium; none
seq179	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae_1; Hathewaya; none
seq180	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq181	Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Nocardiopsaceae; Thermobifida; fusca
seq182	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq183	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae_1; Hathewaya; none
seq184	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Oceanobacillus; none
seq185	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Micrococcaceae; Enteractinococcus; none
seq186	Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; none; none
seq187	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Cerasibacillus; none
seq188	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Cerasibacillus; none
seq189	Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Thermocrispum; municipale
seq190	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq191	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Thermoactinomyces; none
seq192	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq193	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Brevibacteriaceae; Brevibacterium; senegalense
seq194	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Geobacillus; none
seq195	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Planifilum; none
seq196	Bacteria; Firmicutes; Limnochordia; Limnochordales; Limnochordaceae; none; none
seq197	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; none
seq198	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodovibrionales; Fodinicurvataceae; none; none
seq199	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Oceanobacillus; none
seq200	Bacteria; Firmicutes; Bacilli; none; none; none; none
seq201	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Gracilibacillus; halotolerans
seq202	Bacteria; Proteobacteria; Gammaproteobacteria; Methylococcales; Methylococcaceae; none; none
seq203	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Planifilum; composti
seq204	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq205	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Chelativorans; none
seq206	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; none
seq207	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Aeribacillus; pallidus
seq208	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq209	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq210	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Geobacillus; none
seq211	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq212	Bacteria; Proteobacteria; Gammaproteobacteria; none; none; none; none
seq213	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Pseudogracilibacillus; none
seq214	Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria; none
seq215	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq216	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq217	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq218	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Oceanobacillus; indicireducens
seq219	Bacteria; Firmicutes; Bacilli; Bacillales; none; none; none
seq220	Bacteria; Firmicutes; Bacilli; Bacillales; none; none; none
seq221	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq222	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Laceyella; none
seq223	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq224	Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; none
seq225	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodovibrionales; Fodinicurvataceae; none; none
seq226	Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; none
seq227	Bacteria; Firmicutes; Bacilli; none; none; none; none
seq228	Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Thermocrispum; municipale
seq229	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Ammoniibacillus; agariperforans
seq230	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Sinibacillus; none
seq231	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Ammoniibacillus; agariperforans
seq232	Bacteria; Firmicutes; Limnochordia; Limnochordales; Limnochordaceae; none; none
seq233	Eukaryota; none; none; none; none; none; none
seq234	Bacteria; Firmicutes; Limnochordia; Limnochordales; Limnochordaceae; none; none
seq235	Bacteria; Firmicutes; Clostridia; Clostridiales; Family_XI; Tepidimicrobium; none
seq236	Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Atopostipes; none
seq237	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq238	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Kroppenstedtia; eburnea
seq239	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; none; none
seq240	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Geobacillus; stearothermophilus
seq241	Bacteria; Firmicutes; Bacilli; Bacillales; Sporolactobacillaceae; Tuberibacillus; none
seq242	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Geobacillus; stearothermophilus
seq243	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq244	Bacteria; Firmicutes; Limnochordia; Limnochordales; Limnochordaceae; none; none
seq245	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Pseudoxanthomonas; taiwanensis
seq246	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae_1; Hathewaya; none
seq247	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq248	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Novibacillus; none
seq249	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Micrococcaceae; Enteractinococcus; none
seq250	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; none
seq251	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq252	Bacteria; Firmicutes; Clostridia; Clostridiales; Family_XI; Tepidimicrobium; none
seq253	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq254	Bacteria; Firmicutes; Limnochordia; Limnochordales; Limnochordaceae; none; none
seq255	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Dietziaceae; Dietzia; none
seq256	Bacteria; Firmicutes; Limnochordia; Limnochordales; Limnochordaceae; none; none
seq257	Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; none
seq258	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Geobacillus; thermodenitrificans
seq259	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Virgibacillus; none
seq260	Bacteria; Firmicutes; Limnochordia; Limnochordales; Limnochordaceae; none; none
seq261	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq262	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae_1; Clostridium_sensu_stricto_7; none
seq263	Bacteria; Firmicutes; Bacilli; Bacillales; none; none; none
seq264	Bacteria; Firmicutes; Limnochordia; Limnochordales; Limnochordaceae; none; none
seq265	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq266	Bacteria; Actinobacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces; none
seq267	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Nosocomiicoccus; none
seq268	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Ureibacillus; thermosphaericus
seq269	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq270	Eukaryota; none; none; none; none; none; none
seq271	Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Saccharopolyspora; rectivirgula
seq272	Bacteria; Firmicutes; Clostridia; Clostridiales; Family_XI; Tepidimicrobium; none
seq273	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq274	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Micrococcaceae; Enteractinococcus; none
seq275	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Thermobacillus; none
seq276	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Ureibacillus; none
seq277	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Ammoniibacillus; agariperforans
seq278	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Gracilibacillus; halotolerans
seq279	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq280	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq281	Bacteria; Firmicutes; Bacilli; Bacillales; none; none; none
seq282	Bacteria; Firmicutes; Bacilli; Bacillales; none; none; none
seq283	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Thermoactinomyces; intermedius
seq284	Bacteria; Firmicutes; Bacilli; Bacillales; none; none; none
seq285	Bacteria; Firmicutes; Bacilli; Bacillales; none; none; none
seq286	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Kroppenstedtia; none
seq287	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq288	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; none
seq289	Bacteria; Actinobacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces; none
seq290	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; none
